# data_id,Time(s),FLOP(M),memory(M)
4,0.20,4330.83,414.43
8,0.28,6401.54,500.53
12,0.37,8582.24,616.73
16,0.47,10484.08,715.03
20,0.55,12017.62,814.68
24,0.65,13605.01,931.10
28,0.78,15180.79,1093.56
32,0.92,16476.78,1128.70
37,1.03,17886.64,1178.38
41,1.11,18880.96,1185.87
45,1.17,19937.88,1239.82
50,1.19,21019.73,1261.53
55,1.20,22157.17,1378.15
60,1.30,23334.04,1586.39
63,1.34,23922.01,1643.78
69,1.44,25077.28,1654.48
75,1.54,26263.90,1569.13
81,1.62,27286.36,1589.68
87,1.70,28149.23,1713.43
92,1.76,28821.33,1581.51
97,1.82,29436.74,1648.01
