# data_id,Time(s),FLOP(M),memory(M)
4,0.18,3808.95,405.21
8,0.27,6207.09,532.23
12,0.34,8160.36,609.86
16,0.42,9855.73,702.55
20,0.50,11371.60,817.53
24,0.58,12758.91,848.86
28,0.65,14045.44,948.10
32,0.73,15249.20,975.38
36,0.80,16385.82,1118.01
40,0.87,17462.18,1182.73
44,0.94,18490.66,1208.68
48,1.01,19477.25,1165.81
52,1.08,20418.61,1245.06
56,1.14,21327.17,1272.66
60,1.21,22202.94,1353.19
64,1.28,23051.96,1340.80
68,1.35,23873.18,1439.44
72,1.41,24672.46,1463.60
76,1.47,25447.07,1594.04
80,1.53,26204.81,1520.37
84,1.63,26944.30,1600.15
88,1.67,27665.08,1697.75
92,1.73,28369.61,1742.04
96,1.79,29062.36,1839.74
100,1.81,29738.63,1905.23
