# data_id,Time(s),FLOP(M),memory(M)
2,0.28,2262.24,2178.88
4,0.48,3808.95,2181.53
6,0.64,5087.47,2185.05
8,0.82,6207.09,2188.99
10,0.94,7225.50,2193.78
12,1.10,8160.36,2196.68
14,1.23,9033.57,2200.65
16,1.37,9855.73,2203.31
18,1.50,10633.35,2209.93
20,1.69,11371.82,2214.13
22,1.83,12079.64,2216.85
24,1.96,12758.91,2217.78
26,2.10,13411.83,2222.52
28,2.25,14045.44,2223.71
30,2.44,14656.66,2226.19
32,2.55,15249.20,2231.80
34,2.63,15824.08,2235.83
36,2.79,16385.82,2237.83
38,3.01,16930.53,2248.45
40,3.07,17462.18,2254.52
42,3.23,17983.58,2254.72
44,3.36,18490.66,2251.65
46,3.45,18988.41,2267.02
48,3.63,19477.25,2270.65
50,3.76,19951.86,2273.94
52,3.89,20418.61,2270.58
54,4.07,20877.46,2262.40
56,4.16,21327.17,2271.78
58,4.39,21768.36,2274.31
60,4.52,22202.94,2269.96
62,4.62,22629.78,2274.29
64,4.67,23051.96,2272.16
66,4.82,23465.34,2273.22
68,4.97,23873.18,2271.80
70,5.18,24275.06,2275.08
72,5.27,24672.46,2273.59
74,5.33,25061.99,2278.60
76,5.56,25447.07,2280.31
78,5.74,25828.79,2279.77
80,5.75,26204.81,2282.68
82,5.98,26576.52,2287.52
84,7.00,26944.30,2165.55
86,7.24,27307.27,1954.24
88,7.31,27665.08,1965.01
90,7.57,28019.86,1967.48
92,7.88,28369.61,1963.69
94,7.85,28717.19,1977.22
96,7.15,29062.36,1972.30
98,7.00,29402.20,1969.92
100,7.21,29738.63,1975.95
