# data_id,Time(s),FLOP(M),memory(M)
4,0.36,17322.59,565.05
8,0.53,25604.87,774.96
12,0.76,34326.87,914.85
16,0.98,41933.37,1095.40
20,1.15,48066.70,1339.01
24,1.33,54415.26,1467.07
28,1.49,60717.25,1739.03
32,1.67,65900.09,1559.27
37,1.85,71538.08,1830.30
41,1.96,75514.13,1941.10
45,2.11,79740.30,1866.79
50,2.22,84065.88,2443.82
55,2.32,88613.42,2381.43
60,2.48,93318.16,2487.64
63,2.56,95668.43,2400.39
69,2.72,100285.80,2242.62
75,2.86,105027.89,2543.04
81,3.02,109112.68,2616.53
87,3.09,112558.71,3025.59
92,3.20,115241.83,3084.47
97,3.36,117697.27,2788.96
