# data_id,Time(s),FLOP(M),memory(M)
4,0.35,15235.12,608.20
8,0.61,24826.85,805.20
12,0.84,32639.02,970.98
16,1.01,39419.43,1181.14
20,1.23,45482.56,1398.62
24,1.40,51029.60,1413.62
28,1.57,56174.27,1526.55
32,1.70,60987.72,1563.13
36,1.82,65532.52,1672.72
40,1.98,69836.14,1857.07
44,2.09,73948.09,2020.01
48,2.26,77892.39,1920.44
52,2.42,81655.68,1938.50
56,2.45,85287.61,2028.20
60,2.63,88788.29,2241.77
64,2.75,92181.87,2406.69
68,2.81,95464.10,2439.68
72,3.09,98658.50,2667.88
76,3.19,101754.08,2751.94
80,3.35,104782.10,2611.74
84,3.51,107737.01,2437.00
88,4.06,110616.97,2593.34
92,4.08,113431.85,2736.67
96,4.27,116199.48,2660.99
100,4.39,118901.11,2888.72
