# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,5768.72,10.53,0.53,13820.87,1629.86
8,11537.92,18.77,0.73,22436.77,1681.37
12,17307.18,35.06,0.94,29546.04,1708.50
16,23076.42,45.77,1.05,35695.36,1745.27
20,28845.74,52.56,1.19,41143.60,1786.02
24,34614.86,57.94,1.31,46168.44,1823.18
28,40384.04,61.39,1.43,50822.69,1862.70
32,46153.34,63.15,1.56,55144.25,1903.04
36,51922.52,64.87,1.67,59216.01,1945.06
40,57691.86,65.78,1.70,63086.20,1975.16
44,63461.02,66.84,1.77,66794.20,2013.41
48,69230.24,67.76,1.89,70372.69,2052.32
52,74999.44,68.70,2.01,73774.64,2088.59
56,80768.66,69.28,2.20,77043.15,2126.76
60,86538.08,70.30,2.26,80203.22,2162.78
64,92307.16,70.61,2.14,83266.20,2199.05
68,98076.34,70.95,2.35,86221.15,2235.62
72,103845.64,71.41,2.48,89099.35,2277.36
76,109614.82,71.53,2.42,91891.19,2317.12
80,115384.20,71.70,2.56,94590.79,2357.92
84,121153.26,71.76,2.62,97250.69,2390.76
88,126922.50,72.02,2.69,99846.36,2429.58
92,132691.76,71.86,2.76,102362.96,2465.20
96,138460.96,71.97,2.79,104849.21,2503.32
100,144230.66,72.00,2.82,107287.31,2538.80
