# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6926.56,10.75,0.16,17322.59,3121.96
8,11915.80,17.26,0.21,25604.87,3309.70
12,18471.63,32.11,0.27,34326.87,3550.03
16,25230.05,48.61,0.32,41933.37,3797.39
20,31208.24,56.47,0.33,48066.70,4016.76
24,37910.37,60.00,0.38,54415.26,4262.00
28,44835.16,62.66,0.44,60717.25,4515.29
32,51260.72,64.60,0.49,65900.09,4750.33
37,58906.56,66.44,0.51,71538.08,4993.56
41,64812.17,67.80,0.55,75514.13,5205.63
45,71413.91,68.64,0.56,79740.30,5439.87
50,78727.34,69.39,0.61,84065.88,5699.98
55,86817.89,70.18,0.65,88613.42,5988.36
60,95556.46,70.83,0.69,93318.16,6307.84
63,100162.01,70.92,0.74,95668.43,6478.36
69,109681.38,71.36,0.76,100285.80,6808.60
75,119432.10,71.38,0.80,105014.13,7155.83
81,129000.74,71.55,0.83,109085.15,7497.07
87,137914.87,71.38,0.89,112503.65,7807.26
92,145619.49,71.35,0.92,115159.24,8080.84
97,153863.33,71.33,0.93,117614.68,8371.24
