# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
5,7852.15,12.09,0.17,20216.77,3157.11
8,12528.77,21.28,0.22,27899.00,3333.59
11,17185.59,32.39,0.23,34293.07,3504.72
14,22117.69,43.47,0.28,40172.59,3685.11
17,27363.28,50.89,0.33,45725.73,3880.36
20,31045.67,54.29,0.35,49331.61,4012.57
23,35872.29,57.08,0.39,53700.05,4189.14
27,42473.96,59.63,0.42,59162.64,4430.47
33,52066.73,62.81,0.49,66281.33,4749.38
42,67247.59,66.32,0.53,76129.63,5292.79
60,94934.27,69.31,0.69,91446.77,6285.77
