# data_id,Time(s),FLOP(M),memory(M)
4,0.35,15200.02,558.91
8,0.56,24679.54,926.48
12,0.78,32544.37,1065.13
16,0.96,39337.26,1245.50
20,1.17,45325.38,1240.19
24,1.35,50844.29,1600.35
28,1.50,55950.47,1753.83
32,1.67,60708.01,1461.65
36,1.80,65197.34,1401.61
40,1.94,69447.52,1744.84
44,2.06,73529.35,1852.05
48,2.22,77476.65,1910.85
52,2.35,81208.24,2109.85
56,2.47,84809.88,2072.85
60,2.60,88291.50,2046.34
64,2.78,91666.51,2288.21
68,2.90,94919.48,1892.62
72,3.02,98103.94,2066.24
76,3.11,101164.65,2714.78
80,3.21,104151.00,2935.77
84,3.35,107079.40,2324.45
88,3.44,109930.89,2804.87
92,3.70,112724.14,2275.18
96,3.74,115463.45,2743.69
100,3.86,118140.82,3094.56
