# data_id,Time(s),FLOP(M),memory(M)
4,0.40,13820.87,537.76
8,0.57,22436.77,751.91
12,0.68,29546.04,845.89
16,0.96,35695.36,1457.38
20,1.01,41143.60,1307.27
24,1.19,46168.44,1197.02
28,1.26,50822.69,1283.41
32,1.39,55144.25,1364.54
36,1.51,59216.01,1510.97
40,1.62,63086.20,1653.61
44,1.75,66794.20,1775.80
48,1.86,70372.69,1917.91
52,1.99,73774.64,1625.39
56,2.10,77043.15,1743.44
60,2.20,80203.22,1767.24
64,2.30,83266.20,1915.45
68,2.38,86221.15,2565.03
72,2.48,89099.35,2678.48
76,2.60,91891.19,2192.75
80,2.69,94590.79,2496.81
84,2.81,97250.69,2159.09
88,2.90,99846.36,2299.93
92,2.98,102362.96,2667.08
96,3.06,104849.21,2788.39
100,3.15,107287.31,2678.72
