# data_id,Time(s),FLOP(M),memory(M)
4,0.32,15235.12,611.23
8,0.58,24826.85,822.47
12,0.89,32639.02,945.81
16,1.04,39419.43,1131.72
20,1.30,45482.56,1201.81
24,1.46,51029.60,1376.58
28,1.54,56174.27,1455.03
32,1.67,60987.72,1742.30
36,1.72,65532.52,1560.36
40,1.82,69836.14,1738.80
44,1.95,73948.09,1963.72
48,2.08,77892.39,2002.74
52,2.22,81655.68,1800.18
56,2.31,85287.61,2317.47
60,2.44,88788.29,2073.89
64,2.55,92181.87,2346.70
68,2.67,95464.10,2411.23
72,2.79,98658.50,2371.78
76,2.89,101754.08,2547.19
80,3.00,104782.10,2683.95
84,3.10,107737.01,2875.24
88,3.21,110616.97,2903.51
92,3.31,113431.85,2910.27
96,3.42,116199.48,2838.16
100,3.52,118901.11,2878.38
