# data_id,Time(s),FLOP(M),memory(M)
4,0.40,17322.59,625.38
8,0.63,25604.87,839.13
12,1.00,34326.87,887.96
16,1.08,41933.37,1029.77
20,1.31,48066.70,1048.10
24,1.77,54415.26,1395.20
28,1.96,60717.25,1567.92
32,2.18,65900.09,1537.82
37,2.41,71538.08,1612.51
41,2.43,75514.13,1841.60
45,2.24,79740.30,1895.23
50,2.73,84065.88,2053.62
55,3.14,88613.42,2049.85
60,3.35,93318.16,2028.64
63,3.48,95668.43,2006.54
69,3.72,100285.80,2047.61
75,3.90,105027.89,2458.18
81,4.09,109112.68,2597.44
87,4.22,112558.71,2741.15
92,5.14,115241.83,2869.97
97,5.37,117697.27,2689.26
