# data_id,Time(s),FLOP(M),memory(M)
4,0.34,15235.12,610.25
8,0.60,24826.85,853.87
12,0.82,32639.02,1020.68
16,0.98,39419.43,1215.39
20,1.20,45482.56,1226.90
24,1.41,51029.60,1431.75
28,1.74,56174.27,1396.41
32,1.99,60987.72,1414.00
36,1.99,65532.52,1484.38
40,2.13,69836.14,1600.25
44,2.16,73948.09,1763.98
48,2.37,77892.39,1818.65
52,2.68,81655.68,1910.20
56,2.70,85287.61,2024.48
60,2.77,88788.29,2346.55
64,2.90,92181.87,2218.28
68,2.98,95464.10,2181.32
72,3.15,98658.50,2468.16
76,3.54,101754.08,2300.50
80,3.92,104782.10,2522.31
84,3.46,107737.01,2432.67
88,3.41,110616.97,2404.83
92,3.55,113431.85,2327.45
96,3.62,116199.48,2475.88
100,3.72,118901.11,2774.30
