# data_id,time(s),memory(MB)
4,0.648943,0.175477
8,1.0609,0.256206
12,1.28734,0.369712
16,1.5653,0.510043
20,1.87091,0.65591
24,2.10325,0.825358
28,2.23383,1.00421
32,2.36529,1.20107
36,2.52772,1.37494
40,2.64688,1.59874
44,2.85559,1.8513
48,3.0288,2.12014
52,3.26207,2.41112
56,3.56194,2.71627
60,3.66627,3.04278
64,3.82936,3.36566
68,4.06756,3.67712
72,4.15926,3.98964
76,4.3618,4.28867
80,4.43983,4.63742
84,4.56169,5.02504
88,4.71504,5.45394
92,4.85506,5.86786
96,4.97881,6.28262
100,5.15799,6.71032
