# data_id,time(s),memory(MB)
4,0.766132,0.174844
8,1.16825,0.25868
12,1.42744,0.37037
16,1.68856,0.511782
20,1.90394,0.660277
24,2.06456,0.825962
28,2.21604,1.00163
32,2.33325,1.19693
36,2.56336,1.37655
40,2.72212,1.60307
44,2.92199,1.85888
48,3.04934,2.12521
52,3.20326,2.41092
56,3.44363,2.72307
60,3.53396,3.0437
64,3.74211,3.35702
68,3.88677,3.67004
72,4.03707,3.9959
76,4.13705,4.30031
80,4.23054,4.65099
84,4.38637,5.03198
88,4.47656,5.45516
92,4.63852,5.86759
96,4.73818,6.27821
100,4.91518,6.70523
