# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6312.57,10.52,0.56,15200.02,1619.28
8,12625.53,18.56,0.77,24679.54,1652.97
12,18938.60,33.11,0.93,32544.37,1674.65
16,25251.63,45.10,1.09,39337.26,1700.85
20,31564.77,50.91,1.22,45325.38,1729.20
24,37877.67,56.90,1.37,50844.29,1756.51
28,44190.67,60.03,1.46,55950.47,1780.84
32,50503.77,61.91,1.58,60708.01,1806.06
36,56816.77,63.54,1.69,65197.34,1833.12
40,63129.90,64.61,1.82,69447.52,1864.80
44,69442.90,65.65,1.88,73529.35,1891.35
48,75755.87,66.91,1.97,77476.65,1920.15
52,82068.97,68.23,2.13,81208.24,1946.26
56,88381.93,68.75,2.18,84809.88,1972.69
60,94695.17,69.79,2.24,88291.50,1999.60
64,101008.07,69.99,2.36,91666.51,2018.10
68,107321.07,70.75,2.43,94919.48,2042.89
72,113634.17,71.21,2.58,98103.94,2070.23
76,119947.17,71.29,2.61,101164.65,2092.23
80,126260.30,71.59,2.62,104151.00,2124.04
84,132573.20,71.80,2.76,107079.40,2143.37
88,138886.23,72.09,2.86,109930.89,2176.43
92,145199.30,71.83,2.91,112724.14,2200.94
96,151512.27,71.90,3.00,115463.45,2226.48
100,157825.80,71.94,3.04,118140.82,2251.71
