# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6926.56,10.63,1.51,1504.47,442.34
8,11915.80,15.68,1.69,2224.22,649.86
12,18471.63,30.87,1.90,2982.12,886.51
16,25230.05,44.75,2.33,3642.99,1142.89
20,31208.24,52.51,2.58,4175.21,1363.18
24,37910.37,56.73,2.71,4725.56,1610.49
28,44835.16,59.42,2.44,5271.09,1860.97
32,51260.72,61.34,2.55,5720.04,2108.93
37,58906.56,63.44,2.64,6208.56,2388.93
41,64812.17,64.67,2.74,6553.19,2586.74
45,71413.91,65.68,2.82,6919.54,2865.95
50,78727.34,66.63,2.98,7294.64,3109.21
55,86817.89,67.20,3.12,7688.93,3413.88
60,95556.46,67.55,3.19,8096.64,3817.98
63,100162.01,67.85,3.23,8300.33,3943.90
69,109681.38,67.75,3.38,8700.37,4282.18
75,119432.10,67.87,3.51,9110.86,4600.86
81,129000.74,67.74,3.61,9464.92,4979.89
87,137914.87,67.56,3.60,9764.00,5269.50
92,145619.49,67.36,3.63,9997.25,5610.71
97,153863.33,67.21,3.73,10211.27,5859.67
