# data_id,Time(s),FLOP(M),memory(M)
4,1.58,2402.93,316.30
8,1.93,3555.97,368.54
12,2.27,4770.95,410.25
16,2.40,5831.06,530.11
20,2.57,6686.05,552.71
24,2.79,7571.23,582.02
28,3.02,8449.96,610.48
32,3.22,9172.91,669.31
37,3.45,9959.60,686.89
41,3.51,10514.56,771.41
45,3.62,11104.58,864.06
50,3.77,11708.67,875.09
55,3.90,12343.94,875.47
60,4.09,13001.32,835.76
63,3.86,13329.82,906.71
69,4.02,13975.38,951.43
75,4.07,14638.49,938.14
81,2.91,15210.24,969.44
87,2.02,15693.06,965.86
92,1.99,16069.40,1346.09
97,2.10,16414.37,1075.40
