# data_id,Time(s),FLOP(M),memory(M)
4,1.81,2112.86,288.52
8,1.98,3448.33,353.48
12,2.15,4536.66,424.07
16,2.37,5481.64,459.10
20,2.59,6326.82,513.77
24,2.76,7100.50,563.26
28,2.96,7818.14,589.82
32,3.11,8489.74,613.62
36,3.23,9123.99,660.51
40,3.40,9724.73,703.09
44,3.55,10298.82,715.13
48,3.63,10849.61,787.47
52,3.76,11375.25,767.18
56,3.90,11882.63,794.01
60,4.02,12371.79,854.37
64,4.07,12846.07,838.23
68,4.08,13304.87,896.45
72,3.33,13751.49,929.98
76,3.41,14184.38,938.03
80,3.42,14607.89,929.94
84,3.41,15021.25,1397.96
88,3.03,15424.21,1390.17
92,2.82,15818.14,1402.04
96,2.87,16205.52,1276.25
100,2.97,16583.74,1039.95
