# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6926.56,8.70,2.40,2402.93,451.07
8,11915.80,18.78,2.79,3555.97,643.29
12,18471.63,35.60,2.93,4770.95,910.46
16,25230.05,49.55,3.25,5831.06,1152.99
20,31208.24,55.76,3.53,6686.05,1375.36
24,37910.37,59.39,3.43,7571.23,1623.61
28,44835.16,61.50,3.11,8449.96,1909.95
32,51260.72,63.21,3.29,9172.91,2114.17
37,58906.56,65.27,3.51,9959.60,2385.25
41,64812.17,66.35,3.68,10514.56,2620.70
45,71413.91,67.07,3.73,11104.58,2848.66
50,78727.34,67.75,3.86,11708.67,3113.28
55,86817.89,68.32,4.06,12343.94,3410.85
60,95556.46,68.65,4.17,13001.32,3730.43
63,100162.01,68.67,3.75,13329.82,3898.91
69,109681.38,68.94,3.27,13975.38,4238.96
75,119432.10,69.11,3.41,14638.49,4668.96
81,129000.74,69.14,3.34,15210.24,4965.50
87,137914.87,69.15,3.26,15693.06,5296.89
92,145619.49,69.03,3.14,16069.40,5579.06
97,153863.33,68.92,3.19,16414.37,5849.61
