# data_id,Time(s),FLOP(M),memory(M)
4,2.81,3808.95,404.73
8,3.09,6207.09,563.26
12,3.54,8160.36,650.45
16,3.98,9855.73,795.14
20,4.28,11371.60,856.12
24,4.50,12758.91,974.91
28,4.75,14045.44,1082.61
32,5.01,15249.20,1040.22
36,5.18,16385.82,1115.38
40,5.33,17462.18,1204.27
44,5.52,18490.66,1244.68
48,5.53,19477.25,1268.18
52,4.28,20418.61,1410.50
56,4.41,21327.17,1339.96
60,3.70,22202.94,1416.86
64,3.33,23051.96,1506.92
68,2.81,23873.18,1539.28
72,2.39,24672.46,1582.92
76,2.54,25447.07,1559.76
80,2.64,26204.81,1610.03
84,2.24,26944.30,1644.52
88,1.93,27665.08,1701.31
92,1.99,28369.61,1687.29
96,1.83,29062.36,1779.47
100,1.84,29738.63,1768.22
