# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6926.56,11.38,4.29,4330.83,466.71
8,11915.80,20.78,4.43,6401.54,667.34
12,18471.63,35.82,4.63,8582.24,924.12
16,25230.05,50.54,4.31,10484.08,1179.53
20,31208.24,58.23,4.37,12017.62,1395.86
24,37910.37,61.95,4.66,13605.01,1638.12
28,44835.16,63.84,4.92,15180.79,1894.38
32,51260.72,65.22,5.14,16476.78,2162.37
37,58906.56,67.23,5.41,17886.64,2408.80
41,64812.17,67.51,5.55,18880.96,2666.45
45,71413.91,68.51,5.57,19937.88,2879.95
50,78727.34,69.19,5.52,21019.73,3183.43
55,86817.89,69.74,4.14,22157.17,3442.54
60,95556.46,69.96,2.80,23334.04,3769.93
63,100162.01,70.17,2.35,23922.01,3917.22
69,109681.38,70.24,2.46,25077.28,4265.29
75,119432.10,70.48,2.12,26263.90,4678.43
81,129000.74,70.20,2.06,27286.36,5001.87
87,137914.87,70.17,1.88,28149.23,5455.51
92,145619.49,70.07,1.89,28821.33,5727.61
97,153863.33,69.89,1.96,29436.74,5881.82
