# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
5,7852.15,13.80,3.08,5054.38,522.24
8,12528.77,23.89,3.49,6975.06,693.34
11,17185.59,35.36,3.88,8573.70,880.40
14,22117.69,46.43,4.04,10043.73,1081.55
17,27363.28,53.93,3.47,11432.19,1252.94
20,31045.67,56.79,3.59,12333.80,1394.31
23,35872.29,59.78,3.46,13426.11,1582.75
27,42473.96,62.08,3.31,14792.07,1828.37
33,52066.73,64.40,3.49,16572.28,2167.94
42,67247.59,66.75,3.93,19035.40,2724.45
60,94934.27,68.89,3.39,22867.14,3745.78
