# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6350.89,10.77,3.06,3808.95,443.04
8,12702.22,19.12,3.14,6207.09,693.58
12,19053.57,32.55,3.56,8160.36,950.22
16,25404.93,45.00,3.89,9855.73,1187.85
20,31756.39,53.19,4.28,11371.60,1439.44
24,38107.63,58.19,4.52,12758.91,1651.26
28,44458.99,61.02,4.83,14045.44,1890.29
32,50810.37,62.83,5.14,15249.20,2113.33
36,57161.70,64.47,5.34,16385.82,2352.81
40,63513.15,65.49,5.48,17462.18,2587.73
44,69864.44,66.44,5.73,18490.66,2819.50
48,76215.77,67.04,5.73,19477.25,3049.65
52,82567.15,67.81,7.75,20418.61,3283.03
56,88918.48,68.06,7.90,21327.17,3529.45
60,95269.93,68.42,7.52,22202.94,3783.47
64,101621.22,68.93,6.45,23051.96,3982.60
68,107972.54,68.99,6.48,23873.18,4232.87
72,114323.92,69.30,5.19,24672.46,4476.48
76,120675.28,69.43,4.60,25447.07,4682.54
80,127026.69,69.52,3.77,26204.81,4943.36
84,133377.98,69.62,2.04,26944.30,5236.66
88,139729.34,69.80,2.11,27665.08,5368.45
92,146080.69,69.78,2.17,28369.61,5635.39
96,152432.02,69.83,2.24,29062.36,5846.87
100,158783.87,69.79,2.29,29738.63,6111.12
