# data_id,Time(s),FLOP(M),memory(M)
4,0.30,3808.95,406.15
8,0.40,6207.09,525.92
12,0.51,8160.36,632.05
16,0.57,9855.73,723.90
20,0.64,11371.60,799.12
24,0.72,12758.91,1004.64
28,0.79,14045.44,952.60
32,0.86,15249.20,1036.80
36,0.92,16385.82,1151.62
40,0.98,17462.18,1228.93
44,1.04,18490.66,1431.74
48,1.10,19477.25,1450.37
52,1.16,20418.61,1423.26
56,1.22,21327.17,1493.63
60,1.29,22202.94,1495.58
64,1.34,23051.96,1509.22
68,1.38,23873.18,1597.73
72,1.47,24672.46,1920.69
76,1.50,25447.07,1643.73
80,1.56,26204.81,1732.00
84,1.58,26944.30,2107.79
88,1.66,27665.08,1694.92
92,1.70,28369.61,1873.35
96,1.76,29062.36,2283.75
100,1.79,29738.63,2169.29
