# data_id,Time(s),FLOP(M),memory(M)
4,0.83,15235.12,701.41
8,1.36,24826.85,952.60
12,1.86,32639.02,1176.76
16,2.38,39419.43,1354.93
20,2.84,45481.69,1434.76
24,3.32,51029.60,1771.58
28,3.79,56174.27,1870.55
32,4.22,60987.72,1822.63
36,4.76,65532.52,1935.62
40,5.23,69836.14,2162.86
44,5.63,73948.09,2380.38
48,6.09,77892.39,2426.85
52,6.59,81655.68,2338.33
56,7.01,85287.61,2410.39
60,7.43,88788.29,2752.35
64,7.83,92181.87,2796.25
68,8.39,95464.10,2745.62
72,8.82,98658.50,3182.51
76,9.24,101754.08,3537.82
80,9.70,104782.10,3195.33
84,10.15,107737.01,2917.60
88,10.61,110616.97,2975.20
92,11.08,113431.85,2937.83
96,11.44,116199.48,2892.11
100,11.71,118901.11,2927.11
