# data_id,Time(s),FLOP(M),memory(M)
4,1.54,376.21,207.19
8,3.10,556.22,227.74
12,3.60,745.79,254.90
16,4.06,911.12,274.24
20,4.35,1044.28,293.11
24,4.61,1181.99,308.24
28,4.85,1318.51,325.24
32,5.06,1430.89,350.97
37,5.36,1553.20,363.41
41,5.50,1639.51,392.75
45,5.60,1731.28,405.20
50,5.56,1825.29,418.93
55,5.66,1924.14,436.60
60,5.39,2026.41,479.03
63,5.33,2077.53,585.08
69,5.54,2178.01,484.29
75,5.48,2281.18,492.48
81,5.65,2370.32,508.48
87,5.84,2445.77,524.00
92,5.87,2504.75,532.80
97,6.08,2559.03,545.84
