# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6350.89,8.65,0.11,330.74,404.65
8,12702.22,13.39,0.16,539.34,655.57
12,19053.57,21.25,0.21,709.08,912.14
16,25404.93,30.06,0.28,856.34,1154.44
20,31756.39,38.53,0.49,987.99,1372.86
24,38107.63,44.71,1.45,1108.45,1596.81
28,44458.99,48.96,1.98,1220.17,1817.65
32,50810.37,51.85,1.97,1324.70,2054.93
36,57161.70,54.33,2.08,1423.42,2288.05
40,63513.15,55.90,2.19,1516.92,2506.43
44,69864.44,57.21,2.30,1606.27,2764.35
48,76215.77,58.34,2.38,1692.00,2983.75
52,82567.15,59.27,2.44,1773.83,3194.05
56,88918.48,60.05,2.53,1852.83,3423.66
60,95269.93,60.62,2.59,1929.01,3667.19
64,101621.22,61.18,2.68,2002.88,3905.68
68,107972.54,61.63,2.69,2074.36,4156.35
72,114323.92,62.17,2.80,2143.96,4353.87
76,120675.28,62.49,2.87,2211.44,4645.74
80,127026.69,62.76,2.89,2277.47,4819.74
84,133377.98,62.98,2.97,2341.93,5053.01
88,139729.34,63.11,2.99,2404.79,5263.24
92,146080.69,63.19,3.05,2466.26,5571.80
96,152432.02,63.23,3.08,2526.73,5766.25
100,158783.87,63.29,3.17,2585.78,5957.36
