# data_id,Time(s),FLOP(M),memory(M)
4,0.12,330.74,207.42
8,0.18,539.34,232.04
12,0.84,709.08,248.93
16,2.54,856.34,279.24
20,4.26,987.99,299.89
24,4.49,1108.45,313.46
28,4.75,1220.17,339.89
32,4.90,1324.70,357.65
36,5.16,1423.42,356.00
40,5.31,1516.92,367.07
44,5.48,1606.27,380.49
48,5.67,1692.00,496.09
52,5.76,1773.83,539.57
56,5.59,1852.83,537.16
60,5.63,1929.01,537.88
64,5.31,2002.88,556.14
68,5.43,2074.36,534.65
72,5.46,2143.96,512.79
76,5.48,2211.44,495.54
80,5.62,2277.47,510.27
84,5.64,2341.93,618.64
88,5.81,2404.79,533.55
92,5.86,2466.26,549.97
96,5.11,2526.73,562.30
100,5.16,2585.78,568.53
