# data_id,Time(s),FLOP(M),memory(M)
2,0.08,196.07,188.32
4,0.11,330.74,203.69
6,0.13,441.98,215.88
8,0.15,539.34,228.19
10,0.17,627.85,243.46
12,0.19,709.08,249.65
14,0.21,784.94,258.15
16,0.22,856.34,280.75
18,0.23,923.88,287.11
20,0.25,987.99,303.04
22,0.27,1049.47,305.92
24,0.31,1108.45,312.55
26,0.62,1165.15,311.56
28,0.88,1220.17,337.05
30,0.91,1273.25,328.96
32,1.00,1324.70,337.18
34,1.00,1374.63,342.49
36,1.01,1423.42,353.59
38,1.07,1470.73,422.73
40,1.08,1516.92,472.03
42,1.12,1562.21,377.26
44,1.18,1606.27,383.93
46,1.13,1649.52,404.03
48,1.05,1692.00,433.10
50,0.89,1733.25,433.05
52,0.61,1773.83,408.38
54,0.62,1813.72,416.46
56,0.64,1852.83,417.59
58,0.65,1891.20,428.17
60,0.66,1929.01,439.88
62,0.68,1966.15,445.55
64,0.67,2002.88,641.36
66,0.69,2038.86,638.75
68,0.71,2074.36,544.76
70,0.73,2109.35,507.36
72,0.75,2143.96,481.57
74,0.77,2177.89,488.42
76,0.76,2211.44,489.08
78,0.77,2244.70,500.66
80,0.79,2277.47,510.04
82,0.81,2309.87,543.05
84,0.82,2341.93,522.16
86,0.85,2373.58,572.42
88,0.88,2404.79,579.20
90,0.94,2435.74,581.87
92,0.94,2466.26,579.14
94,0.97,2496.60,583.75
96,0.98,2526.73,714.68
98,1.00,2556.40,614.70
100,0.88,2585.78,626.56
