# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6350.89,9.15,0.24,528.30,409.44
8,12702.22,20.08,1.20,862.27,660.89
12,19053.57,33.81,2.07,1134.47,916.52
16,25404.93,44.19,1.98,1370.85,1161.30
20,31756.39,49.68,2.14,1582.29,1376.64
24,38107.63,53.51,2.31,1775.88,1593.65
28,44458.99,55.54,2.50,1955.47,1828.39
32,50810.37,57.93,2.66,2123.57,2058.29
36,57161.70,59.24,2.77,2282.34,2281.78
40,63513.15,60.33,2.84,2432.76,2523.80
44,69864.44,61.06,2.98,2576.52,2742.24
48,76215.77,61.79,3.11,2714.48,2974.07
52,82567.15,62.46,3.20,2846.16,3207.58
56,88918.48,62.95,3.27,2973.29,3449.88
60,95269.93,63.30,3.43,3095.88,3661.04
64,101621.22,63.51,3.48,3214.76,3902.61
68,107972.54,63.81,3.61,3329.79,4159.34
72,114323.92,64.07,3.70,3441.79,4350.89
76,120675.28,64.29,3.78,3550.37,4590.18
80,127026.69,64.67,3.63,3656.61,4831.35
84,133377.98,64.79,4.71,3760.34,5078.39
88,139729.34,64.94,4.82,3861.47,5270.05
92,146080.69,65.10,4.94,3960.36,5508.72
96,152432.02,65.11,4.61,4057.63,5732.05
100,158783.87,65.15,4.74,4152.61,5964.11
