# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6926.56,10.32,3.55,1082.80,434.96
8,11915.80,19.59,3.85,1600.55,641.13
12,18471.63,33.12,4.16,2145.82,905.32
16,25230.05,45.19,4.48,2621.39,1139.27
20,31208.24,53.92,3.90,3004.88,1356.83
24,37910.37,59.83,3.79,3401.85,1599.30
28,44835.16,63.46,4.03,3795.94,1848.26
32,51260.72,65.11,4.18,4120.07,2084.06
37,58906.56,66.46,4.35,4472.72,2363.19
41,64812.17,67.37,4.44,4721.45,2606.17
45,71413.91,67.97,4.56,4985.87,2820.82
50,78727.34,68.42,4.65,5256.56,3074.00
55,86817.89,68.78,3.57,5541.20,3365.50
60,95556.46,69.04,3.59,5835.76,3762.79
63,100162.01,69.24,3.57,5982.95,3847.29
69,109681.38,69.14,3.29,6272.24,4198.84
75,119432.10,69.11,3.00,6569.44,4549.50
81,129000.74,69.12,3.04,6825.68,4897.87
87,137914.87,68.95,2.30,7042.08,5239.37
92,145619.49,68.91,1.56,7210.77,5531.15
97,153863.33,68.58,1.61,7365.40,5782.98
