# data_id,Time(s),FLOP(M),memory(M)
4,2.00,1082.80,274.78
8,2.54,1600.55,354.48
12,2.94,2145.82,409.32
16,3.26,2621.39,427.30
20,3.49,3004.88,466.13
24,3.63,3401.85,543.29
28,3.86,3795.94,585.16
32,4.00,4120.07,638.18
37,4.30,4472.72,689.11
41,4.35,4721.45,704.54
45,4.55,4985.87,719.32
50,4.41,5256.56,744.64
55,4.47,5541.20,801.39
60,4.50,5835.76,798.18
63,3.87,5982.95,834.04
69,2.81,6272.24,911.87
75,2.79,6569.44,905.62
81,3.00,6825.68,965.01
87,1.85,7042.08,1029.63
92,1.36,7210.77,1038.13
97,1.46,7365.40,999.28
