# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6350.89,9.80,2.21,952.32,415.96
8,12702.22,18.34,2.92,1551.96,663.72
12,19053.57,30.42,2.88,2040.39,929.01
16,25404.93,40.81,3.24,2464.37,1154.67
20,31756.39,49.50,3.46,2843.49,1388.15
24,38107.63,55.49,3.69,3190.48,1602.19
28,44458.99,58.89,3.96,3512.30,1844.07
32,50810.37,61.37,4.11,3813.43,2067.72
36,57161.70,63.20,4.28,4097.80,2303.78
40,63513.15,64.41,4.45,4367.12,2527.61
44,69864.44,65.34,4.56,4624.48,2758.88
48,76215.77,65.99,4.72,4871.39,2993.01
52,82567.15,66.77,4.88,5107.00,3233.58
56,88918.48,67.38,4.76,5334.43,3491.95
60,95269.93,67.73,6.00,5553.67,3682.68
64,101621.22,68.07,6.59,5766.24,3912.67
68,107972.54,68.24,6.39,5971.87,4135.55
72,114323.92,68.32,6.17,6172.03,4386.03
76,120675.28,68.35,5.36,6366.04,4593.58
80,127026.69,68.42,5.45,6555.84,4839.92
84,133377.98,68.46,4.60,6741.10,5060.71
88,139729.34,68.47,2.33,6921.69,5280.11
92,146080.69,68.57,2.37,7098.23,5618.84
96,152432.02,68.54,2.46,7271.84,5805.58
100,158783.87,68.52,2.53,7441.34,6036.15
